id,created_at,text,location,city
T2020_00145,2020-01-24T02,"Of course it is Kerala’s beautiful Kochi (Cochin)! Did you know, that Kotchi has world’s first airport running solely on solar power (project executed by Bosch)? Or that Kochi was ranked 7th among Lonely Planet’s list of top cities in the world to visit in 2020? Full day ahead!","Berlin, Germany",Berlin
T2015_01313,2015-04-23T12,Update: SPI buys stake in ZBB ahead of storage deal: As part of a supply agreement valued at betwee... [URL] #solar #PV,"Berlin, Germany",Berlin
T2019_02359,2019-11-28T12,Are rare earths used in solar panels?: A new report by the French Environment and Energy Management Agency shows that rare earth minerals are not really used in solar energy and battery storage technologies.#pv #solarpv #solar,"Berlin, Germany",Berlin
T2018_03330,2018-12-03T14,"Reality check for those who think politics don't matter: new research from @[REDACTED] finds that there was one main reason costs of #solar panels have declined by 99 percent over past 40 years: ""It was driven, at every stage, by smart public policy.""#COP24","Berlin, Germany",Berlin
T2014_00301,2014-02-04T18,Apple Said To Be Exploring Inductive Charging And Solar Power In iWatch Testing [URL] @[REDACTED] aracılığıyla,"Berlin, Germany",Berlin
T2021_00192,2021-01-27T15,"We are excited to collaborate with the IGLUNA ""Rebels"" of the Munich @[REDACTED] team on sintering regolith with solar power and Fresnel lenses. Learn more about at#Orbitrecycling #cleanspace #forwardtothemoon","Berlin, Germany",Berlin
T2016_02907,2016-09-15T11,UK government gives go ahead to Hinkley Point nuclear plant: Theresa May's new government has fina...#solar #PV,"Berlin, Germany",Berlin
T2018_00683,2018-02-26T10,"#Solar News: TEPCO reaffirms renewables commitment, vows to expand globally - The head of Tokyo Electric Power (TEPCO) has said that the Japanese company remains committed to renewables development, and has vowed to expand the regional utility’s busin...","Berlin, Germany",Berlin
T2017_01446,2017-05-24T10,"Steve Comisar sold a ""solar powered clothes dryer"" for $49.99 and subsequently sent customers a clothesline.","Berlin, Germany",Berlin
T2014_02620,2014-09-29T13,OPDE given green light for 10.8 MW UK solar farm: The Spanish solar group will further broaden its ... [URL] #solar #PV,"Berlin, Germany",Berlin
T2022_01201,2022-12-06T07,Enphase to add up to 7.2 GW of US solar microinverter production capacity: Enphase CEO Badri Kothandaraman has said that the company will build four to six new manufacturing lines in the United States.#solarenergy #technology #sustainability,"Berlin, Germany",Berlin
T2014_01749,2014-07-10T13,Zimbabwe plans 300 MW solar PV project: The African nation's power minister reveals details of $250... [URL] #solar #PV,"Berlin, Germany",Berlin
T2015_03508,2015-12-01T10,"Solar, wind power output to surpass shale in five years, says Goldman report: New solar and wind ca...#solar #PV","Berlin, Germany",Berlin
T2016_01895,2016-06-17T19,Ameresco completes 18 MW-DC PV plant on former Army waste site in Maryland: The new plant is one o...#solar #PV,"Berlin, Germany",Berlin
T2016_02145,2016-07-12T19,Utility and CandI #solar are still nascent markets - @[REDACTED] @[REDACTED] @[REDACTED] @[REDACTED] @[REDACTED],"Berlin, Germany",Berlin
T2014_01232,2014-05-17T00,Get The Lead Out: How A New Super-Efficient Solar Cell Technology Just Got Better Get The Lead Out: How A New... [URL],"Berlin, Germany",Berlin
T2015_03462,2015-11-26T14,DOE: New report paves way for energy future: Solar PV power has increased tenfold over the past fou...#solar #PV,"Berlin, Germany",Berlin
T2018_00186,2018-01-15T12,"#Solar News: Hevel energizes another 10 MW solar facility in Russia - The Volgograd Solar Power Plant will sell electricity to Russia’s Wholesale Electricity and Capacity Market. Russian solar module maker and PV project developer, Hevel Solar, a join...","Berlin, Germany",Berlin
T2018_02986,2018-10-24T12,positive result from the latest European Social Survey: three-quarters think that a large or very large amount of electricity should be generated from #solar power :sun:,"Berlin, Germany",Berlin
T2016_01716,2016-06-01T09,"Renewables enjoy record 2015 in terms of investment and installations, REN21 report says: Global c...#solar #PV","Berlin, Germany",Berlin
T2017_04246,2017-12-29T09,"#Solar News: Trina Solar secured 104 MW of solar in third Mexico auction - The Chinese solar company won the right to develop 104 MWp of PV through a partnership with Mitsui &amp; Co., in the third long-term auction held in Mexico last month. Trina Solar,...","Berlin, Germany",Berlin
T2016_03519,2016-11-01T16,Scatec to develop first ever utility-scale solar plant in Mozambique: The Norwegian solar develope...#solar #PV,"Berlin, Germany",Berlin
T2016_00823,2016-03-14T19,U.S. trade authorities to rule on import duties for Silevo: SolarCity’s high-efficiency PV module s...#solar #PV,"Berlin, Germany",Berlin
T2022_00936,2022-09-05T07,Here is another argument for #nuclear: EROI Why is it important? High EROI -greater-than high excess energy -greater-than faster progress -greater-than more efficient fight against #climatechange. The converse: #solar is undermining #ESG progress.,"Berlin, Germany",Berlin
T2021_00486,2021-03-23T12,Q CELLS awarded EuPD Research ‘Top Brand PV’ seal for eighth consecutive year: Q CELLS one of just three module manufacturers to receive the 'Top Brand PV' seal for eight years in a row in Europe. #qcells #solar #eupd research #pv,"Berlin, Germany",Berlin
T2020_02562,2020-12-30T09,EDP acquires stake in Brazilian distributed-gen PV company: Portuguese utility EDP has agreed to buy a minority stake of up to 40% in Brazil’s Blue Sol Participações.#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2015_00206,2015-01-21T08,"Rewarded for Trina's module dominance: The president of the module business, which has become the w... [URL] #solar #PV","Berlin, Germany",Berlin
T2022_00887,2022-08-05T10,:light_bulb:#GoodNews from:Spain: :backpack:Secondary school+:people_holding_hands_medium_skin_tone:residents' association+:office_building:Barcelona city council create a:sun:#solar #energycommunity that has a big growth potential throughout the city via:houses:rooftops  :chart_decreasing:25% cut in:high_voltage:bill  :magnifying_glass_tilted_right:Explore the project in the @[REDACTED] article:backhand_index_pointing_right_medium_skin_tone:,"Berlin, Germany",Berlin
T2019_00830,2019-04-24T14,@[REDACTED]: Ausbau von #erneuerbareEnergien mit Elektrifizierung könnten mehr als 3/4 der energiebezogenen Emissionen reduzieren!#solar #PV,"Berlin, Germany",Berlin
T2018_01119,2018-04-04T22,"@[REDACTED] are you in need of phone charging facilities for your festival guests? Our off-grid solar powered facilities require no existing infrastructure, minimal organisation and offer a prime platform for sponsor branding.","Berlin, Germany",Berlin
T2015_00924,2015-03-24T13,"aleo solar, GreenIndusTree partner in Pakistan: ""The current solar projects are just the beginning,... [URL] #solar #PV","Berlin, Germany",Berlin
T2017_02628,2017-08-22T10,#Solar News: Smart Solar begins building 34.5 MW in Japan - Smart Solar has started constructing a 34.45 MW sol...,"Berlin, Germany",Berlin
T2019_01371,2019-07-12T07,#ErneuerbareEnergien produzierten 44% des deutschen Strombedarfs im 1. Halbjahr 2019! Das sind 5 Prozentpunkte mehr als im Vorjahr!#energiewende #pv #solar,"Berlin, Germany",Berlin
T2018_00159,2018-01-13T08,"#IRENA8A: #UK thinks tackling #climate change is paramount; renewable energy is key, with London as financial hub. #Offshore wind is a domestic success story, #Solar power is free of subsidies: If you can to it in raining England, you can do it anywhere!","Berlin, Germany",Berlin
T2014_02895,2014-10-20T09,"First Solar begins construction of 141 MW PV plant in Chile: The Luz Del Norte, expected to be the ... [URL] #solar #PV","Berlin, Germany",Berlin
T2019_02146,2019-10-29T07,مطلوب للعمل في عمان، الأردن في الشركة الشاملة لحلول الطاقة و البيئة:  مهندس مبيعات طاقة شمسية Solar PV Sales Engineer  التقديم عبر الرابط:علق على المنشور و شاركه لتصلك أجدد الوظائف  #وظيفة #وظف #توظيف #الطاقة #عمان #الأردن #jobs #jordan #amman #solarjob,"Berlin, Germany",Berlin
T2016_01001,2016-03-30T14,Manz records 2015 revenue slightly above forecast but 27.4% down from 2014: Manz AG announced its 2...#solar #PV,"Berlin, Germany",Berlin
T2014_03383,2014-11-26T13,Huawei unveils smart PV solution in Germany: Chinese company extends solar footprint in Europe with... [URL] #solar #PV,"Berlin, Germany",Berlin
T2017_02574,2017-08-16T10,#Solar News: Sparx posts $4 million profit in Q1 - Japanese asset manager Sparx has reported a profit attributa...,"Berlin, Germany",Berlin
T2021_01019,2021-06-03T13,SNEC opens its doors: The 15th edition of the world's biggest solar trade jamboree got up and running in Shanghai today and we have exclusive images from the event.#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2017_01744,2017-06-16T09,"#Solar News: Kong Sun buys 100 MW for $80.3 million - Kong Sun Yongtai Investment, the Chinese group’s investme...","Berlin, Germany",Berlin
T2014_02642,2014-09-30T21,"California sets a new utility-scale solar generation record at 4.9 GW: Despite shorter fall days, C... [URL] #solar #PV","Berlin, Germany",Berlin
T2016_02626,2016-08-23T10,20 MW solar plant being developed at earthquake-stricken Italian town: U.K. investment firm Quercu...#solar #PV,"Berlin, Germany",Berlin
T2021_01822,2021-10-07T19,German lignite operator RWE signs deal for 2GW of solar in former lignite mine.  In Greece.  As opposed to Germany where it continues to operate it's lignite mines and destroy villages.,"Berlin, Germany",Berlin
T2019_01504,2019-07-31T09,Fantastic article in Handelsblatt this week. ecoligo CEO @[REDACTED] explains how the two sides of our business model - #crowdinvesting and #solar energy for businesses in emerging markets - came together.,"Berlin, Germany",Berlin
T2016_01891,2016-06-17T13,The pv magazine weekly news digest: In a week shaped by three pivotal reports that each forecast a...#solar #PV,"Berlin, Germany",Berlin
T2014_00960,2014-04-14T12,"@[REDACTED] offers a list of each country's funding policies for #solar #PV, which is updated monthly. [URL]","Berlin, Germany",Berlin
T2015_02491,2015-08-05T13,"Germany: Record PV and wind grid feed-in for July: According to Fraunhofer ISE's data, the amount o... [URL] #solar #PV","Berlin, Germany",Berlin
T2014_03638,2014-12-20T14,Georgia regulators approve 515 MW of solar PPAs: With these and other projects in its Advanced Sola... [URL] #solar #PV,"Berlin, Germany",Berlin
T2018_00586,2018-02-20T13,"#Solar News: Ukraine’s renewable energy outlook under the new electricity market design - Svitlana Teush, counsel at ""Redcliffe Partners"" law firm in Kуiv, Ukraine, discusses the country’s new electricity market design and what it means for renewables...","Berlin, Germany",Berlin
T2019_02086,2019-10-21T12,"Carbon nanotubes provide a boost to perovskite solar: Scientists at the Tokyo Institute of Technology have developed a carbon nanotube which forms a strong junction with a lead-halide perovskite, improving performance and stability.#pv #solarpv #solar","Berlin, Germany",Berlin
T2019_00095,2019-01-13T12,#solar makes the sofa shine and can power the world - @[REDACTED] @[REDACTED] @[REDACTED] at #IRENA9A,"Berlin, Germany",Berlin
T2014_01812,2014-07-17T16,@[REDACTED]: US federal government tips solar for leading energy role: The Energy Information Administration's g......,"Berlin, Germany",Berlin
T2015_03535,2015-12-02T23,It's official: New York State to get a 50% by 2030 renewable energy program by July 2016: New York ...#solar #PV,"Berlin, Germany",Berlin
T2014_03671,2014-12-30T05,Germans go solar. This is why utilities here shift their business model to renewables and energy services. [URL],"Berlin, Germany",Berlin
T2016_02347,2016-07-29T09,Kyocera Applied Ceramics division hit by declining Japanese demand: Profits from the Kyocera busin...#solar #PV,"Berlin, Germany",Berlin
T2016_02175,2016-07-14T12,Sungrow announces $170m storage partnership with Samsung: The Chinese inverter specialist official...#solar #PV,"Berlin, Germany",Berlin
T2021_01315,2021-07-19T07,Solar module for floating PV from Hyundai: The bifacial panel has a power output of up to 485 W and an efficiency of up to 21%. It relies on a transparent backsheet and is encapsulated with polyolefin elastomer (POE).#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2016_01547,2016-05-17T10,Conergy signs deal with Thai fossil fuel firm for 25 MW Japan solar farm: The German clean energy ...#solar #PV,"Berlin, Germany",Berlin
T2016_02244,2016-07-20T09,Sunrun secures $33m loan facility to finance SREC portfolio: The U.S. residential solar company cl...#solar #PV,"Berlin, Germany",Berlin
T2017_01636,2017-06-08T11,#Solar News: pv magazine 5th Quality Roundtable: a holistic approach is needed to solve quality issues,"Berlin, Germany",Berlin
T2021_01835,2021-10-11T08,"Good climate news from Armenia. 3 years ago, when I was in Armenia for the last time, there was no such view from this window. No, I'm not talking about mountains, but about solar panels. There are many problems here, but the country is going in the right direction","Berlin, Germany",Berlin
T2020_02506,2020-12-17T18,NIPSCO adds solar capacity through a 280 MW PPA: The Indiana utility plans to be coal-free by 2028 by adding a combination of cleaner energy sources to its existing mix of natural gas and hydroelectric generation.#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2022_00340,2022-03-25T11,"Spain’s PV capacity tops 15GW: According to new statistics from the Spanish grid operator, around 3.3GW of new PV systems were deployed in the country last year.#solarenergy #solarpv #solar","Berlin, Germany",Berlin
T2018_00616,2018-02-21T19,#Solar News: Blockchain company raises $40 million to further develop energy trading platform - WePower is raising money in hopes of leveraging Bitcoin’s ‘blockchain’ technology to enable instant tracking and trading of clean electricity. By John Weav...,"Berlin, Germany",Berlin
T2015_01450,2015-05-05T09,Advanced Energy enjoys Q1 profit of $21.3 million: Sales revenue held steady at $141.1 million for ... [URL] #solar #PV,"Berlin, Germany",Berlin
T2016_00283,2016-01-28T15,Meyer Burger confirms two tool orders worth combined $21.6 million: Equipment manufacturer says lea...#solar #PV,"Berlin, Germany",Berlin
T2015_03422,2015-11-23T16,"Turkey: New directive sees import duties on solar modules: Turkey has issued a new directive, which...#solar #PV","Berlin, Germany",Berlin
T2013_03111,2013-11-12T20,I liked a @[REDACTED] video from @[REDACTED] [URL] How to make your own solar panels - SELFMADE SOLAR ENERGY - DIY,"Berlin, Germany",Berlin
T2022_00983,2022-09-21T09,"""Are There Better Places to Put Large Solar Farms Than These Forests?"" by BY GABRIEL POPKIN via NYT New York Times","Berlin, Germany",Berlin
T2015_00693,2015-03-06T11,Grid opens offering to more low-income households: Non-profit installer has become a channel partne... [URL] #solar #PV,"Berlin, Germany",Berlin
T2018_00281,2018-01-25T10,"#Solar News: Spain’s Canary Islands to launch 100 MW solar auction this year - The government of the Spanish archipelago, which also announced a 300 MW wind power auction for this year, aims at covering 45% of its energy needs with renewables by 2025....","Berlin, Germany",Berlin
T2017_02740,2017-08-31T12,"BHEL's tender RFQ SPKSCPV004 for Supply, I&amp;C and O&amp;M of 66KV Switchyard package for 15MW Solar PV Plant: Details:","Hamburg, Germany",Hamburg
T2018_02907,2018-10-17T08,Die #Freiheit des #elektroauto von der Steckdose.The #freedom for the #electriccar from the power socket. #Solar #PV #emobility #bev #elektromobilität #Verkehrswende,"Hamburg, Germany",Hamburg
T2018_02531,2018-09-08T18,"And a Road trip to Asia's Cleanest village Mawlynnong village   Was touched by their self reliant entrepreneurship ,Solar Power adoption and planned drainage system and Village council to look after daily cleaning  #mawlynnong  #swatchbharat  #MeghalayaTripDiaries","Hamburg, Germany",Hamburg
T2018_02382,2018-08-24T09,Looking for an alternative to wind energy? Solar may be the answer! Talk to us at WindEnergy Hamburg between 25-28 September 2018. Please contact Kanin Silpa-Archa via kanin.silpa-archa@suntrace.de or [PHONE]. #windenergy #solarenergy,"Hamburg, Germany",Hamburg
T2022_00333,2022-03-24T08,"New residential projects with #Sonnex Energie full black #solarmodule! Uniform appearance, high efficiency and reliable performance are what we can offer. Sonnex Energie is always ready to support our partners with fast delivery, more reliable quality and better service! #solar","Hamburg, Germany",Hamburg
T2022_00967,2022-09-16T16,JA Solar erhält höchste AAA-Bewertung im PV ModuleTech Bankability Rankingvia @[REDACTED] #ots #umwelt #news,"Hamburg, Germany",Hamburg
T2020_01040,2020-06-15T07,"Already more than 60 years ago the SHARP founder, Tokuji Hayakawa, recognised the potential of #PV #solar power. :light_bulb: His vision lead to SHARPs pioneering solar history.   Find out more:#solarpioneers #gosolar #solarpv","Hamburg, Germany",Hamburg
T2020_00346,2020-02-26T12,:clapper_board:Today Enex Kielce in Poland starts. Please come along to stand E-61 of our partner Keno and explore the future of #solarsolutions.   Please find all our product information in :Poland: Polish here:,"Hamburg, Germany",Hamburg
T2015_01955,2015-06-19T07,REP2P Inc at #Climathon #Frankfurt: #community based platform where you can share solar power with your neighbours [URL],"Hamburg, Germany",Hamburg
T2021_01924,2021-11-01T08,:Greece: Strong partnership for Greece:  A trusted relationship of 15 years between SHARP Energy Solutions Europe and #EUROSOL has evolved into a successful strategic #solar partnership making material inroads in the Greek #PV market.   More info (@[REDACTED]):,"Hamburg, Germany",Hamburg
T2017_01460,2017-05-24T16,Brasilianischer Distributed-Generation Markt wächst wieder um mehr als 300%via @[REDACTED] #Brasilien #Solar #PV,"Hamburg, Germany",Hamburg
T2020_01675,2020-09-04T12,Die Häflte der in 2019 weltweit zugebauten Kraftwerkskapazitäten waren #Photovoltaikanlagen. Diese großartige Entwicklung ist nur durch die kontinuierliche Reduzierung der #Kosten der #Solarenergie möglich.,"Hamburg, Germany",Hamburg
T2014_00480,2014-02-23T10,"need to figure out how solar energy can be sent from moon to earth via microwaves, an idea that has already been realistically theorised","Hamburg, Germany",Hamburg
T2018_03230,2018-11-21T10,It was a pleasure to support @[REDACTED] and @[REDACTED] at the Renewable Energy Investment and Finance Forum (#REIFFIndia) in Mumbai. Discussing the promising options for Solar Heat for Industrial Processes (#SHIP) with everyone was very enriching. #solarheat #RenewableEnergy,"Hamburg, Germany",Hamburg
T2014_02439,2014-09-15T07,Germany and Denmark w/ highest renewable #wind andamp; #solar #energy have fewest outages and highest reliability [URL],"Hamburg, Germany",Hamburg
T2018_01072,2018-03-29T18,Saudi Arabia unveils plan to build the largest solar power project in the world ?!#solar #Innovation #Lifestyle #future #SaveTheEarth #marketing #SocialIntelligence #bm,"Hamburg, Germany",Hamburg
T2016_01030,2016-03-31T20,Solar-powered sea-water desalination plants may solve the water crisis. Why is this techn. not widely used? Still RandD? or inv. problems?,"Hamburg, Germany",Hamburg
T2018_00757,2018-03-03T08,"Solar panels love this weather. Sunny but cold.  At minus 10 Celsius the heat pump was pulling 4kW, the solar panels giving 5kW, so 800W into the grid. Sunny winter in Hamburg, I just love it.","Hamburg, Germany",Hamburg
T2014_01981,2014-08-06T14,"Gas ""enabled the US to cut its emissions more than what all..solar panels and wind turbines in the world have achieved"" [URL]","Hamburg, Germany",Hamburg
T2018_02237,2018-08-08T14,"TENDER NOTICE: BHEL Open tenders for Supply of BOS items and IandC of 20MWp SPV power plant GACL at Charanka Solar park Gujarat Project. - In this regard, BHEL has floated an open tender on [PHONE].","Hamburg, Germany",Hamburg
T2017_02916,2017-09-12T10,#London #solar auctions aim to make city greenest on #earth. via @[REDACTED] #solarpower #renewable #energy,"Hamburg, Germany",Hamburg
T2015_03155,2015-09-28T14,1 GW Of New Solar Capacity To Be Added Every Month In The US For The Next Year and A Half - [URL] | #energy #solar #strom,"Hamburg, Germany",Hamburg
T2016_03756,2016-11-27T16,Tesla and SolarCity made this whole island solar-powered in under a yearby #TechCrunch via @[REDACTED],"Hamburg, Germany",Hamburg
T2016_03725,2016-11-22T11,We will rapidly move 2 de adoption of a distributed solar energy solution for all govt and public buildings.#NPPManifesto #energy #JMFriSo,"Hamburg, Germany",Hamburg
T2019_00467,2019-02-26T14,Belgian Scientists Crack the code for affordable green energy. Field trials with a solar panel generating hydrogen at 15% efficiency starting soon.#tech #Pakistan #cs,"Hamburg, Germany",Hamburg
